flr/usdt,eth/usdt,btc/usdt,timestamp
0.0165698,2188.839,86054.76,1741496076
0.0165677,2188.571,86044.25,1741496098
0.0165656,2188.303,86044.25,1741496100
0.0165656,2188.57,86044.25,1741496102
0.0165635,2188.57,86044.25,1741496109
0.0165635,2188.57,86044.25,1741496111
0.0165614,2188.57,86033.74,1741496160
0.0165593,2188.57,86023.23,1741496166
0.0165572,2188.57,86023.23,1741496168
0.0165551,2188.57,86033.73,1741496170
0.0165551,2188.837,86044.23,1741496190
0.0165551,2189.104,86054.73,1741496192
0.0165551,2189.371,86065.23,1741496198
0.0165551,2189.371,86054.72,1741496202
0.0165571,2189.371,86054.72,1741496204
0.0165571,2189.638,86065.22,1741496208
0.016555,2189.638,86065.22,1741496218
0.0165529,2189.638,86065.22,1741496220
0.0165549,2189.638,86065.22,1741496221
0.0165549,2189.638,86075.72,1741496224
0.0165507,2189.638,86065.21,1741496232
0.0165486,2189.638,86065.21,1741496234
0.0165526,2189.102,86065.21,1741496246
